dyad,speaker,session,sentence,duration(s),size(K),file_name
5051,51,main50,49,7.35,633.52,d5051_51_main50_49_mono.wav
4445,44,main50,60,8.82,759.98,d4445_44_main50_60_mono.wav
4849,48,main50,64,3.54,304.82,d4849_48_main50_64_mono.wav
4243,43,main50,61,5.69,489.83,d4243_43_main50_61_mono.wav
4041,40,main50,12,6.58,567.13,d4041_40_main50_12_mono.wav
3031,30,main50,70,5.26,452.98,d3031_30_main50_70_mono.wav
3637,37,main50,71,3.07,264.55,d3637_37_main50_71_mono.wav
4647,47,main50,13,3.67,316.18,d4647_47_main50_13_mono.wav
4445,45,main50,47,5.07,436.8,d4445_45_main50_47_mono.wav
4849,49,main50,43,7.56,650.9,d4849_49_main50_43_mono.wav
3839,39,main50,21,3.24,278.7,d3839_39_main50_21_mono.wav
3435,35,main50,25,5.33,459.13,d3435_35_main50_25_mono.wav
4243,42,main50,46,4.45,383.56,d4243_42_main50_46_mono.wav
4041,40,main50,80,6.63,571.24,d4041_40_main50_80_mono.wav
4041,41,main50,35,3.47,299.21,d4041_41_main50_35_mono.wav
3031,31,main50,57,5.47,470.8,d3031_31_main50_57_mono.wav
3637,36,main50,56,6.44,554.5,d3637_36_main50_56_mono.wav
4647,46,main50,34,4.37,376.4,d4647_46_main50_34_mono.wav
3637,37,main50,39,4.17,359.13,d3637_37_main50_39_mono.wav
3031,30,main50,38,6.92,596.47,d3031_30_main50_38_mono.wav
4243,43,main50,29,3.9,336.34,d4243_43_main50_29_mono.wav
4445,44,main50,28,4.9,422.32,d4445_44_main50_28_mono.wav
3839,39,main50,1,5.68,488.87,d3839_39_main50_1_mono.wav
5051,50,main50,26,9.59,826.13,d5051_50_main50_26_mono.wav
4445,44,main50,6,7.22,622.23,d4445_44_main50_6_mono.wav
3839,39,main50,69,5.3,456.77,d3839_39_main50_69_mono.wav
3839,38,main50,38,5.91,508.85,d3839_38_main50_38_mono.wav
5051,51,main50,77,7.06,607.72,d5051_51_main50_77_mono.wav
3031,31,main50,69,5.53,476.31,d3031_31_main50_69_mono.wav
3637,36,main50,68,5.22,449.54,d3637_36_main50_68_mono.wav
5051,50,main50,50,4.3,370.81,d5051_50_main50_50_mono.wav
4445,45,main50,79,6.29,541.68,d4445_45_main50_79_mono.wav
