dyad,speaker,session,sentence,duration(s),size(K),file_name
0102,1,main50,68,7.68,661.63,d0102_1_main50_68_mono.wav
0506,6,main50,39,5.67,488.42,d0506_6_main50_39_mono.wav
1112,11,main50,48,6.18,532.77,d1112_11_main50_48_mono.wav
0304,3,main50,50,4.82,415.03,d0304_3_main50_50_mono.wav
1516,16,main50,19,6.1,525.54,d1516_16_main50_19_mono.wav
0506,5,main50,8,6.39,550.26,d0506_5_main50_8_mono.wav
1920,20,main50,5,5.4,465.25,d1920_20_main50_5_mono.wav
0304,3,main50,18,6.53,562.49,d0304_3_main50_18_mono.wav
0910,10,main50,65,7.75,667.31,d0910_10_main50_65_mono.wav
0506,6,main50,71,5.44,468.78,d0506_6_main50_71_mono.wav
1718,18,main50,33,5.37,462.32,d1718_18_main50_33_mono.wav
1920,19,main50,48,4.67,402.28,d1920_19_main50_48_mono.wav
1314,14,main50,65,6.21,534.5,d1314_14_main50_65_mono.wav
1516,15,main50,72,7.18,618.73,d1516_15_main50_72_mono.wav
0102,1,main50,20,5.68,489.45,d0102_1_main50_20_mono.wav
1920,20,main50,75,4.81,414.69,d1920_20_main50_75_mono.wav
1718,17,main50,36,8.4,723.56,d1718_17_main50_36_mono.wav
0506,5,main50,52,8.14,701.16,d0506_5_main50_52_mono.wav
0304,4,main50,33,7.23,622.96,d0304_4_main50_33_mono.wav
1112,12,main50,23,6.03,519.68,d1112_12_main50_23_mono.wav
1516,16,main50,51,6.27,540.1,d1516_16_main50_51_mono.wav
0910,10,main50,13,4.6,396.17,d0910_10_main50_13_mono.wav
1112,11,main50,76,4.8,413.65,d1112_11_main50_76_mono.wav
1718,18,main50,45,4.4,379.03,d1718_18_main50_45_mono.wav
0910,9,main50,6,8.63,743.71,d0910_9_main50_6_mono.wav
1314,14,main50,13,3.09,266.02,d1314_14_main50_13_mono.wav
0102,1,main50,56,6.18,532.52,d0102_1_main50_56_mono.wav
0506,5,main50,24,6.49,558.87,d0506_5_main50_24_mono.wav
0304,4,main50,45,5.6,482.47,d0304_4_main50_45_mono.wav
0304,3,main50,2,6.12,526.83,d0304_3_main50_2_mono.wav
1718,17,main50,40,4.33,373.08,d1718_17_main50_40_mono.wav
1112,12,main50,55,3.5,301.51,d1112_12_main50_55_mono.wav
0102,2,main50,75,5.8,499.44,d0102_2_main50_75_mono.wav
1314,13,main50,38,5.06,435.53,d1314_13_main50_38_mono.wav
0910,9,main50,74,5.07,436.39,d0910_9_main50_74_mono.wav
1516,16,main50,27,7.78,670.33,d1516_16_main50_27_mono.wav
1516,16,main50,3,4.12,354.65,d1516_16_main50_3_mono.wav
1920,19,main50,76,3.55,305.99,d1920_19_main50_76_mono.wav
0304,3,main50,26,9.13,786.44,d0304_3_main50_26_mono.wav
1314,13,main50,6,6.87,592.03,d1314_13_main50_6_mono.wav
1314,13,main50,70,3.72,320.37,d1314_13_main50_70_mono.wav
1516,15,main50,4,6.0,516.93,d1516_15_main50_4_mono.wav
0304,3,main50,80,5.04,434.34,d0304_3_main50_80_mono.wav
1314,13,main50,44,6.72,578.86,d1314_13_main50_44_mono.wav
0506,5,main50,58,5.97,514.51,d0506_5_main50_58_mono.wav
0304,4,main50,39,5.65,486.35,d0304_4_main50_39_mono.wav
1112,12,main50,29,3.62,311.76,d1112_12_main50_29_mono.wav
1516,15,main50,78,7.03,605.81,d1516_15_main50_78_mono.wav
0304,3,main50,12,6.85,589.97,d0304_3_main50_12_mono.wav
1920,19,main50,42,3.73,321.75,d1920_19_main50_42_mono.wav
1718,18,main50,39,4.32,371.79,d1718_18_main50_39_mono.wav
1112,12,main50,61,4.85,417.79,d1112_12_main50_61_mono.wav
0506,5,main50,10,5.69,490.05,d0506_5_main50_10_mono.wav
0304,4,main50,71,4.62,397.89,d0304_4_main50_71_mono.wav
1718,17,main50,74,5.63,485.23,d1718_17_main50_74_mono.wav
0910,9,main50,40,4.23,364.73,d0910_9_main50_40_mono.wav
1516,16,main50,13,3.65,314.6,d1516_16_main50_13_mono.wav
0102,2,main50,41,3.93,338.8,d0102_2_main50_41_mono.wav
0506,5,main50,2,5.72,492.72,d0506_5_main50_2_mono.wav
0506,6,main50,33,7.46,642.16,d0506_6_main50_33_mono.wav
1718,18,main50,71,4.17,359.3,d1718_18_main50_71_mono.wav
0910,10,main50,27,6.67,574.21,d0910_10_main50_27_mono.wav
1112,11,main50,42,5.55,478.17,d1112_11_main50_42_mono.wav
