dyad,spk,cond,sess,sent,file_path,file_name,lang,sex
d0102,1,main,0,1,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_1_mono.wav,d0102_1_main0_1_mono.wav,IT,M
d0102,1,main,0,3,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_3_mono.wav,d0102_1_main0_3_mono.wav,IT,M
d0102,1,main,0,5,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_5_mono.wav,d0102_1_main0_5_mono.wav,IT,M
d0102,1,main,0,7,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_7_mono.wav,d0102_1_main0_7_mono.wav,IT,M
d0102,1,main,0,9,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_9_mono.wav,d0102_1_main0_9_mono.wav,IT,M
d0102,1,main,0,11,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_11_mono.wav,d0102_1_main0_11_mono.wav,IT,M
d0102,1,main,0,13,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_13_mono.wav,d0102_1_main0_13_mono.wav,IT,M
d0102,1,main,0,15,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_15_mono.wav,d0102_1_main0_15_mono.wav,IT,M
d0102,1,main,0,17,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_17_mono.wav,d0102_1_main0_17_mono.wav,IT,M
d0102,1,main,0,19,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_19_mono.wav,d0102_1_main0_19_mono.wav,IT,M
d0102,1,main,0,21,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_21_mono.wav,d0102_1_main0_21_mono.wav,IT,M
d0102,1,main,0,23,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_23_mono.wav,d0102_1_main0_23_mono.wav,IT,M
d0102,1,main,0,25,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_25_mono.wav,d0102_1_main0_25_mono.wav,IT,M
d0102,1,main,0,27,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_27_mono.wav,d0102_1_main0_27_mono.wav,IT,M
d0102,1,main,0,29,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_29_mono.wav,d0102_1_main0_29_mono.wav,IT,M
d0102,1,main,0,31,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_31_mono.wav,d0102_1_main0_31_mono.wav,IT,M
d0102,1,main,0,33,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_33_mono.wav,d0102_1_main0_33_mono.wav,IT,M
d0102,1,main,0,35,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_35_mono.wav,d0102_1_main0_35_mono.wav,IT,M
d0102,1,main,0,37,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_37_mono.wav,d0102_1_main0_37_mono.wav,IT,M
d0102,1,main,0,39,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_39_mono.wav,d0102_1_main0_39_mono.wav,IT,M
d0102,1,main,0,41,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_41_mono.wav,d0102_1_main0_41_mono.wav,IT,M
d0102,1,main,0,43,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_43_mono.wav,d0102_1_main0_43_mono.wav,IT,M
d0102,1,main,0,45,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_45_mono.wav,d0102_1_main0_45_mono.wav,IT,M
d0102,1,main,0,47,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_47_mono.wav,d0102_1_main0_47_mono.wav,IT,M
d0102,1,main,0,49,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_49_mono.wav,d0102_1_main0_49_mono.wav,IT,M
d0102,1,main,0,51,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_51_mono.wav,d0102_1_main0_51_mono.wav,IT,M
d0102,1,main,0,53,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_53_mono.wav,d0102_1_main0_53_mono.wav,IT,M
d0102,1,main,0,55,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_55_mono.wav,d0102_1_main0_55_mono.wav,IT,M
d0102,1,main,0,57,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_57_mono.wav,d0102_1_main0_57_mono.wav,IT,M
d0102,1,main,0,59,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_59_mono.wav,d0102_1_main0_59_mono.wav,IT,M
d0102,1,main,0,61,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_61_mono.wav,d0102_1_main0_61_mono.wav,IT,M
d0102,1,main,0,63,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_63_mono.wav,d0102_1_main0_63_mono.wav,IT,M
d0102,1,main,0,65,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_65_mono.wav,d0102_1_main0_65_mono.wav,IT,M
d0102,1,main,0,67,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_67_mono.wav,d0102_1_main0_67_mono.wav,IT,M
d0102,1,main,0,69,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_69_mono.wav,d0102_1_main0_69_mono.wav,IT,M
d0102,1,main,0,71,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_71_mono.wav,d0102_1_main0_71_mono.wav,IT,M
d0102,1,main,0,73,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_73_mono.wav,d0102_1_main0_73_mono.wav,IT,M
d0102,1,main,0,75,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_75_mono.wav,d0102_1_main0_75_mono.wav,IT,M
d0102,1,main,0,77,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_77_mono.wav,d0102_1_main0_77_mono.wav,IT,M
d0102,1,main,0,79,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main0_79_mono.wav,d0102_1_main0_79_mono.wav,IT,M
d0102,1,main,25,2,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_2_mono.wav,d0102_1_main25_2_mono.wav,IT,M
d0102,1,main,25,4,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_4_mono.wav,d0102_1_main25_4_mono.wav,IT,M
d0102,1,main,25,6,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_6_mono.wav,d0102_1_main25_6_mono.wav,IT,M
d0102,1,main,25,8,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_8_mono.wav,d0102_1_main25_8_mono.wav,IT,M
d0102,1,main,25,10,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_10_mono.wav,d0102_1_main25_10_mono.wav,IT,M
d0102,1,main,25,12,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_12_mono.wav,d0102_1_main25_12_mono.wav,IT,M
d0102,1,main,25,14,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_14_mono.wav,d0102_1_main25_14_mono.wav,IT,M
d0102,1,main,25,16,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_16_mono.wav,d0102_1_main25_16_mono.wav,IT,M
d0102,1,main,25,18,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_18_mono.wav,d0102_1_main25_18_mono.wav,IT,M
d0102,1,main,25,20,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_20_mono.wav,d0102_1_main25_20_mono.wav,IT,M
d0102,1,main,25,22,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_22_mono.wav,d0102_1_main25_22_mono.wav,IT,M
d0102,1,main,25,24,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_24_mono.wav,d0102_1_main25_24_mono.wav,IT,M
d0102,1,main,25,26,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_26_mono.wav,d0102_1_main25_26_mono.wav,IT,M
d0102,1,main,25,28,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_28_mono.wav,d0102_1_main25_28_mono.wav,IT,M
d0102,1,main,25,30,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_30_mono.wav,d0102_1_main25_30_mono.wav,IT,M
d0102,1,main,25,32,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_32_mono.wav,d0102_1_main25_32_mono.wav,IT,M
d0102,1,main,25,34,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_34_mono.wav,d0102_1_main25_34_mono.wav,IT,M
d0102,1,main,25,36,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_36_mono.wav,d0102_1_main25_36_mono.wav,IT,M
d0102,1,main,25,38,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_38_mono.wav,d0102_1_main25_38_mono.wav,IT,M
d0102,1,main,25,40,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_40_mono.wav,d0102_1_main25_40_mono.wav,IT,M
d0102,1,main,25,42,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_42_mono.wav,d0102_1_main25_42_mono.wav,IT,M
d0102,1,main,25,44,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_44_mono.wav,d0102_1_main25_44_mono.wav,IT,M
d0102,1,main,25,46,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_46_mono.wav,d0102_1_main25_46_mono.wav,IT,M
d0102,1,main,25,48,/NASstorage/Dataset/Reading_task-Dorina/Italian/wav/d0102_1_main25_48_mono.wav,d0102_1_main25_48_mono.wav,IT,M
