dyad,speaker,session,sentence,duration(s),size(K),file_name
7576,75,main50,14,5.59,481.87,SK1516_15_main50_14_mono.wav
6970,69,main50,30,6.25,538.29,SK0910_9_main50_30_mono.wav
7980,80,main50,13,3.43,295.48,SK1920_20_main50_13_mono.wav
6162,62,main50,31,10.16,875.24,SK0102_2_main50_31_mono.wav
7172,71,main50,66,5.31,457.75,SK1112_11_main50_66_mono.wav
6768,67,main50,64,4.32,372.05,SK0708_7_main50_64_mono.wav
7576,75,main50,8,7.47,643.8,SK1516_15_main50_8_mono.wav
6162,61,main50,80,6.72,579.01,SK0102_1_main50_80_mono.wav
6566,65,main50,60,5.3,456.72,SK0506_5_main50_60_mono.wav
7778,78,main50,55,6.29,541.9,SK1718_18_main50_55_mono.wav
7374,73,main50,28,5.17,445.61,SK1314_13_main50_28_mono.wav
6162,61,main50,12,7.93,682.99,SK0102_1_main50_12_mono.wav
7576,76,main50,37,7.55,650.52,SK1516_16_main50_37_mono.wav
7778,78,main50,7,7.69,662.4,SK1718_18_main50_7_mono.wav
6566,66,main50,43,7.31,629.85,SK0506_6_main50_43_mono.wav
7778,77,main50,50,7.21,620.63,SK1718_17_main50_50_mono.wav
6768,68,main50,61,6.81,586.52,SK0708_8_main50_61_mono.wav
7172,72,main50,45,5.39,464.38,SK1112_12_main50_45_mono.wav
7980,79,main50,66,5.38,463.78,SK1920_19_main50_66_mono.wav
6566,65,main50,28,7.66,660.08,SK0506_5_main50_28_mono.wav
6364,64,main50,49,8.74,753.19,SK0304_4_main50_49_mono.wav
6162,62,main50,79,9.45,813.91,SK0102_2_main50_79_mono.wav
6970,69,main50,78,6.42,552.76,SK0910_9_main50_78_mono.wav
6364,63,main50,62,6.89,593.41,SK0304_3_main50_62_mono.wav
6768,68,main50,29,5.2,447.85,SK0708_8_main50_29_mono.wav
7778,77,main50,18,8.33,717.88,SK1718_17_main50_18_mono.wav
7980,79,main50,6,6.9,594.1,SK1920_19_main50_6_mono.wav
6566,66,main50,9,3.76,323.82,SK0506_6_main50_9_mono.wav
7374,73,main50,60,5.73,494.01,SK1314_13_main50_60_mono.wav
7980,79,main50,10,6.2,534.41,SK1920_19_main50_10_mono.wav
7172,71,main50,58,5.03,433.12,SK1112_11_main50_58_mono.wav
6364,63,main50,14,5.62,483.77,SK0304_3_main50_14_mono.wav
7374,73,main50,16,4.85,417.53,SK1314_13_main50_16_mono.wav
6970,69,main50,46,5.99,516.15,SK0910_9_main50_46_mono.wav
7374,74,main50,75,5.29,455.43,SK1314_14_main50_75_mono.wav
7576,75,main50,62,6.37,548.62,SK1516_15_main50_62_mono.wav
6162,62,main50,47,8.19,705.38,SK0102_2_main50_47_mono.wav
7980,80,main50,65,6.36,547.76,SK1920_20_main50_65_mono.wav
6364,63,main50,4,6.41,552.58,SK0304_3_main50_4_mono.wav
7980,80,main50,9,3.62,311.5,SK1920_20_main50_9_mono.wav
6970,70,main50,75,5.4,465.25,SK0910_10_main50_75_mono.wav
7172,71,main50,10,8.16,703.14,SK1112_11_main50_10_mono.wav
6768,67,main50,12,6.68,575.41,SK0708_7_main50_12_mono.wav
7778,78,main50,23,9.97,858.36,SK1718_18_main50_23_mono.wav
7980,79,main50,58,4.26,366.71,SK1920_19_main50_58_mono.wav
6566,65,main50,16,5.57,480.06,SK0506_5_main50_16_mono.wav
6364,64,main50,77,9.01,775.84,SK0304_4_main50_77_mono.wav
6162,61,main50,64,5.65,486.35,SK0102_1_main50_64_mono.wav
6768,67,main50,80,6.53,562.87,SK0708_7_main50_80_mono.wav
7576,76,main50,41,4.11,353.71,SK1516_16_main50_41_mono.wav
6566,66,main50,35,5.14,443.2,SK0506_6_main50_35_mono.wav
7778,77,main50,26,12.01,1034.15,SK1718_17_main50_26_mono.wav
7172,72,main50,33,8.26,711.33,SK1112_12_main50_33_mono.wav
6768,68,main50,17,6.72,578.77,SK0708_8_main50_17_mono.wav
6566,66,main50,3,3.88,334.07,SK0506_6_main50_3_mono.wav
7576,76,main50,75,5.09,438.37,SK1516_16_main50_75_mono.wav
6162,61,main50,50,5.88,506.68,SK0102_1_main50_50_mono.wav
6364,63,main50,68,9.36,806.07,SK0304_3_main50_68_mono.wav
6768,68,main50,23,6.87,592.12,SK0708_8_main50_23_mono.wav
7778,77,main50,12,8.25,710.72,SK1718_17_main50_12_mono.wav
6162,62,main50,73,6.87,592.12,SK0102_2_main50_73_mono.wav
7980,80,main50,51,5.32,457.93,SK1920_20_main50_51_mono.wav
7778,77,main50,80,7.49,645.12,SK1718_17_main50_80_mono.wav
7374,74,main50,41,4.61,397.46,SK1314_14_main50_41_mono.wav
6970,69,main50,72,7.17,617.53,SK0910_9_main50_72_mono.wav
7576,75,main50,56,7.1,612.02,SK1516_15_main50_56_mono.wav
6566,65,main50,4,5.83,502.03,SK0506_5_main50_4_mono.wav
7778,78,main50,17,8.88,765.25,SK1718_18_main50_17_mono.wav
6566,65,main50,22,3.79,326.75,SK0506_5_main50_22_mono.wav
6364,64,main50,43,8.27,712.28,SK0304_4_main50_43_mono.wav
6970,70,main50,41,4.93,424.42,SK0910_10_main50_41_mono.wav
7172,71,main50,24,7.0,603.4,SK1112_11_main50_24_mono.wav
6768,67,main50,26,9.24,795.91,SK0708_7_main50_26_mono.wav
6566,66,main50,49,5.78,497.98,SK0506_6_main50_49_mono.wav
6364,63,main50,20,6.71,577.65,SK0304_3_main50_20_mono.wav
7374,73,main50,22,3.08,265.68,SK1314_13_main50_22_mono.wav
7576,76,main50,5,6.22,535.88,SK1516_16_main50_5_mono.wav
6162,61,main50,18,8.54,735.96,SK0102_1_main50_18_mono.wav
7576,75,main50,2,6.01,517.96,SK1516_15_main50_2_mono.wav
7980,79,main50,24,6.35,546.64,SK1920_19_main50_24_mono.wav
7980,80,main50,19,4.62,398.06,SK1920_20_main50_19_mono.wav
6364,63,main50,56,8.9,766.71,SK0304_3_main50_56_mono.wav
7172,72,main50,39,6.65,573.09,SK1112_12_main50_39_mono.wav
7374,73,main50,54,5.61,483.42,SK1314_13_main50_54_mono.wav
7980,80,main50,3,3.86,332.77,SK1920_20_main50_3_mono.wav
6768,67,main50,18,6.62,570.41,SK0708_7_main50_18_mono.wav
7980,79,main50,52,6.07,522.52,SK1920_19_main50_52_mono.wav
7778,78,main50,29,6.04,520.46,SK1718_18_main50_29_mono.wav
6768,67,main50,4,6.28,541.39,SK0708_7_main50_4_mono.wav
7576,75,main50,68,8.5,731.91,SK1516_15_main50_68_mono.wav
6162,61,main50,26,9.23,794.79,SK0102_1_main50_26_mono.wav
6768,68,main50,55,7.54,649.83,SK0708_8_main50_55_mono.wav
7172,72,main50,71,4.52,389.62,SK1112_12_main50_71_mono.wav
6566,66,main50,77,7.45,641.56,SK0506_6_main50_77_mono.wav
7778,77,main50,64,5.64,485.92,SK1718_17_main50_64_mono.wav
7980,80,main50,27,6.66,573.86,SK1920_20_main50_27_mono.wav
7576,75,main50,20,6.83,588.33,SK1516_15_main50_20_mono.wav
7374,74,main50,37,8.62,742.42,SK1314_14_main50_37_mono.wav
6566,65,main50,54,5.35,460.85,SK0506_5_main50_54_mono.wav
6364,64,main50,35,6.67,574.72,SK0304_4_main50_35_mono.wav
7778,78,main50,61,7.9,680.23,SK1718_18_main50_61_mono.wav
7172,71,main50,52,6.32,544.66,SK1112_11_main50_52_mono.wav
6768,67,main50,50,4.4,379.11,SK0708_7_main50_50_mono.wav
6970,70,main50,37,8.77,755.86,SK0910_10_main50_37_mono.wav
6364,63,main50,74,6.58,566.45,SK0304_3_main50_74_mono.wav
7374,73,main50,76,4.25,366.28,SK1314_13_main50_76_mono.wav
7576,76,main50,69,6.47,557.49,SK1516_16_main50_69_mono.wav
7172,71,main50,38,6.64,572.22,SK1112_11_main50_38_mono.wav
7980,79,main50,70,3.81,328.64,SK1920_19_main50_70_mono.wav
6970,70,main50,3,4.38,377.56,SK0910_10_main50_3_mono.wav
7576,76,main50,21,4.18,359.82,SK1516_16_main50_21_mono.wav
7172,72,main50,53,4.25,366.54,SK1112_12_main50_53_mono.wav
6768,68,main50,77,6.84,589.36,SK0708_8_main50_77_mono.wav
7778,77,main50,46,8.86,763.52,SK1718_17_main50_46_mono.wav
6566,66,main50,55,5.05,434.67,SK0506_6_main50_55_mono.wav
6162,62,main50,27,9.26,797.81,SK0102_2_main50_27_mono.wav
6970,69,main50,26,7.23,623.21,SK0910_9_main50_26_mono.wav
7374,74,main50,15,5.72,492.38,SK1314_14_main50_15_mono.wav
7374,74,main50,7,6.17,531.48,SK1314_14_main50_7_mono.wav
7980,79,main50,38,6.7,576.7,SK1920_19_main50_38_mono.wav
7778,78,main50,43,7.05,607.45,SK1718_18_main50_43_mono.wav
6364,64,main50,17,8.63,743.03,SK0304_4_main50_17_mono.wav
6566,65,main50,76,4.26,366.8,SK0506_5_main50_76_mono.wav
6768,67,main50,72,11.63,1001.94,SK0708_7_main50_72_mono.wav
7172,71,main50,70,5.51,474.89,SK1112_11_main50_70_mono.wav
6970,70,main50,15,6.18,532.0,SK0910_10_main50_15_mono.wav
7172,72,main50,9,4.54,391.26,SK1112_12_main50_9_mono.wav
7576,76,main50,57,5.82,501.51,SK1516_16_main50_57_mono.wav
7374,73,main50,48,4.97,427.78,SK1314_13_main50_48_mono.wav
6162,61,main50,72,9.79,843.28,SK0102_1_main50_72_mono.wav
7172,72,main50,25,5.19,446.64,SK1112_12_main50_25_mono.wav
7778,77,main50,30,8.34,718.05,SK1718_17_main50_30_mono.wav
6566,66,main50,23,7.5,646.21,SK0506_6_main50_23_mono.wav
6162,62,main50,51,8.22,708.14,SK0102_2_main50_51_mono.wav
7980,80,main50,73,4.9,422.09,SK1920_20_main50_73_mono.wav
6162,61,main50,8,8.78,756.63,SK0102_1_main50_8_mono.wav
7576,75,main50,74,6.36,547.42,SK1516_15_main50_74_mono.wav
7374,74,main50,63,5.46,470.07,SK1314_14_main50_63_mono.wav
6970,69,main50,50,3.92,337.68,SK0910_9_main50_50_mono.wav
6364,64,main50,9,6.05,521.49,SK0304_4_main50_9_mono.wav
6364,64,main50,61,7.61,655.69,SK0304_4_main50_61_mono.wav
7778,78,main50,35,5.62,484.46,SK1718_18_main50_35_mono.wav
6970,70,main50,63,6.38,549.57,SK0910_10_main50_63_mono.wav
7778,77,main50,78,8.12,699.18,SK1718_17_main50_78_mono.wav
6768,68,main50,7,6.94,597.72,SK0708_8_main50_7_mono.wav
6768,68,main50,49,5.7,490.57,SK0708_8_main50_49_mono.wav
6364,64,main50,29,6.02,518.74,SK0304_4_main50_29_mono.wav
6566,65,main50,48,4.58,394.96,SK0506_5_main50_48_mono.wav
6970,69,main50,18,5.73,493.24,SK0910_9_main50_18_mono.wav
6162,62,main50,19,7.82,673.77,SK0102_2_main50_19_mono.wav
7778,78,main50,49,8.02,691.0,SK1718_18_main50_49_mono.wav
7980,79,main50,32,3.74,322.52,SK1920_19_main50_32_mono.wav
6768,67,main50,78,7.05,607.02,SK0708_7_main50_78_mono.wav
7172,72,main50,59,6.8,585.66,SK1112_12_main50_59_mono.wav
6364,63,main50,36,11.4,981.78,SK0304_3_main50_36_mono.wav
7374,73,main50,34,4.68,402.89,SK1314_13_main50_34_mono.wav
7576,75,main50,40,6.23,536.56,SK1516_15_main50_40_mono.wav
6970,69,main50,64,4.1,353.1,SK0910_9_main50_64_mono.wav
7374,74,main50,57,5.74,494.79,SK1314_14_main50_57_mono.wav
6162,62,main50,65,10.98,945.78,SK0102_2_main50_65_mono.wav
7980,80,main50,47,4.79,412.79,SK1920_20_main50_47_mono.wav
6970,70,main50,9,4.02,346.21,SK0910_10_main50_9_mono.wav
6970,70,main50,57,6.84,589.28,SK0910_10_main50_57_mono.wav
6768,67,main50,30,6.32,544.06,SK0708_7_main50_30_mono.wav
7172,71,main50,32,4.0,344.4,SK1112_11_main50_32_mono.wav
7778,77,main50,4,7.46,643.02,SK1718_17_main50_4_mono.wav
6364,64,main50,55,4.94,425.97,SK0304_4_main50_55_mono.wav
6566,65,main50,34,4.27,368.0,SK0506_5_main50_34_mono.wav
6162,61,main50,46,7.91,681.7,SK0102_1_main50_46_mono.wav
7576,76,main50,63,3.91,336.48,SK1516_16_main50_63_mono.wav
6566,66,main50,17,6.78,583.68,SK0506_6_main50_17_mono.wav
6768,68,main50,35,4.03,346.81,SK0708_8_main50_35_mono.wav
7172,72,main50,11,5.57,479.37,SK1112_12_main50_11_mono.wav
7374,74,main50,21,5.09,438.8,SK1314_14_main50_21_mono.wav
6970,69,main50,12,6.67,574.29,SK0910_9_main50_12_mono.wav
7576,75,main50,36,9.71,836.48,SK1516_15_main50_36_mono.wav
7980,80,main50,31,7.1,611.33,SK1920_20_main50_31_mono.wav
6162,62,main50,13,6.87,592.03,SK0102_2_main50_13_mono.wav
6768,67,main50,46,6.24,537.34,SK0708_7_main50_46_mono.wav
7172,71,main50,44,8.38,721.92,SK1112_11_main50_44_mono.wav
6970,70,main50,21,4.74,408.48,SK0910_10_main50_21_mono.wav
7778,78,main50,77,8.54,735.62,SK1718_18_main50_77_mono.wav
6364,64,main50,23,9.51,818.91,SK0304_4_main50_23_mono.wav
6566,65,main50,42,4.37,376.36,SK0506_5_main50_42_mono.wav
6162,61,main50,30,8.37,721.06,SK0102_1_main50_30_mono.wav
7576,76,main50,15,5.34,459.56,SK1516_16_main50_15_mono.wav
7778,77,main50,72,9.59,825.71,SK1718_17_main50_72_mono.wav
6970,69,main50,80,6.23,536.3,SK0910_9_main50_80_mono.wav
6566,66,main50,61,6.12,527.18,SK0506_6_main50_61_mono.wav
7172,72,main50,67,4.19,361.11,SK1112_12_main50_67_mono.wav
6768,68,main50,43,6.52,561.46,SK0708_8_main50_43_mono.wav
7172,71,main50,4,4.99,430.1,SK1112_11_main50_4_mono.wav
7980,79,main50,44,7.26,625.28,SK1920_19_main50_44_mono.wav
6970,70,main50,69,8.29,713.91,SK0910_10_main50_69_mono.wav
7980,80,main50,79,5.53,476.19,SK1920_20_main50_79_mono.wav
6162,61,main50,2,6.25,538.11,SK0102_1_main50_2_mono.wav
7374,74,main50,69,6.21,535.1,SK1314_14_main50_69_mono.wav
6364,64,main50,3,5.36,461.46,SK0304_4_main50_3_mono.wav
6364,63,main50,40,6.25,538.8,SK0304_3_main50_40_mono.wav
6162,62,main50,5,7.77,668.95,SK0102_2_main50_5_mono.wav
6566,66,main50,29,4.81,414.6,SK0506_6_main50_29_mono.wav
7172,72,main50,3,4.1,353.02,SK1112_12_main50_3_mono.wav
7374,73,main50,42,3.86,332.86,SK1314_13_main50_42_mono.wav
6162,61,main50,78,8.51,733.46,SK0102_1_main50_78_mono.wav
7778,77,main50,8,7.98,687.04,SK1718_17_main50_8_mono.wav
7980,79,main50,76,3.85,331.31,SK1920_19_main50_76_mono.wav
6364,64,main50,59,10.14,873.09,SK0304_4_main50_59_mono.wav
6566,65,main50,38,7.05,607.45,SK0506_5_main50_38_mono.wav
6970,69,main50,68,6.99,602.54,SK0910_9_main50_68_mono.wav
6970,70,main50,5,6.73,580.06,SK0910_10_main50_5_mono.wav
6162,62,main50,69,6.97,600.22,SK0102_2_main50_69_mono.wav
6364,63,main50,72,7.59,653.96,SK0304_3_main50_72_mono.wav
6768,68,main50,39,5.56,479.2,SK0708_8_main50_39_mono.wav
7374,73,main50,70,4.65,400.47,SK1314_13_main50_70_mono.wav
6162,62,main50,21,5.54,477.48,SK0102_2_main50_21_mono.wav
7374,74,main50,1,5.6,482.39,SK1314_14_main50_1_mono.wav
7374,74,main50,13,3.98,342.94,SK1314_14_main50_13_mono.wav
6970,69,main50,20,5.71,492.03,SK0910_9_main50_20_mono.wav
6364,64,main50,11,7.78,669.9,SK0304_4_main50_11_mono.wav
6566,65,main50,70,4.19,361.11,SK0506_5_main50_70_mono.wav
7778,78,main50,45,6.64,572.14,SK1718_18_main50_45_mono.wav
6768,67,main50,74,6.16,530.79,SK0708_7_main50_74_mono.wav
7172,71,main50,76,4.59,395.05,SK1112_11_main50_76_mono.wav
6970,70,main50,13,4.67,402.46,SK0910_10_main50_13_mono.wav
7576,76,main50,27,10.5,904.09,SK1516_16_main50_27_mono.wav
7374,73,main50,38,5.62,484.02,SK1314_13_main50_38_mono.wav
6768,68,main50,71,4.38,376.88,SK0708_8_main50_71_mono.wav
7172,72,main50,55,4.96,427.69,SK1112_12_main50_55_mono.wav
7778,77,main50,40,6.41,552.24,SK1718_17_main50_40_mono.wav
6566,66,main50,53,4.33,372.65,SK0506_6_main50_53_mono.wav
6162,62,main50,57,7.58,652.76,SK0102_2_main50_57_mono.wav
7980,80,main50,75,5.19,446.9,SK1920_20_main50_75_mono.wav
6970,69,main50,56,7.35,633.12,SK0910_9_main50_56_mono.wav
7374,74,main50,65,7.81,673.08,SK1314_14_main50_65_mono.wav
7576,75,main50,72,7.8,671.96,SK1516_15_main50_72_mono.wav
7778,78,main50,33,9.57,824.16,SK1718_18_main50_33_mono.wav
7980,79,main50,48,6.69,575.93,SK1920_19_main50_48_mono.wav
6364,64,main50,67,4.24,364.99,SK0304_4_main50_67_mono.wav
7172,71,main50,8,5.35,460.51,SK1112_11_main50_8_mono.wav
6970,70,main50,65,8.39,722.61,SK0910_10_main50_65_mono.wav
7576,76,main50,51,6.81,586.26,SK1516_16_main50_51_mono.wav
6162,61,main50,74,7.93,682.9,SK0102_1_main50_74_mono.wav
7172,72,main50,23,6.85,589.88,SK1112_12_main50_23_mono.wav
7778,77,main50,36,11.23,967.14,SK1718_17_main50_36_mono.wav
6566,66,main50,25,5.36,461.54,SK0506_6_main50_25_mono.wav
6162,62,main50,9,5.65,486.61,SK0102_2_main50_9_mono.wav
7172,71,main50,48,5.33,459.13,SK1112_11_main50_48_mono.wav
6768,68,main50,1,6.52,561.28,SK0708_8_main50_1_mono.wav
7576,76,main50,19,5.76,496.6,SK1516_16_main50_19_mono.wav
6364,63,main50,30,7.5,645.69,SK0304_3_main50_30_mono.wav
6566,66,main50,59,6.66,573.26,SK0506_6_main50_59_mono.wav
7374,73,main50,32,3.85,331.4,SK1314_13_main50_32_mono.wav
7980,79,main50,34,4.53,390.4,SK1920_19_main50_34_mono.wav
6970,70,main50,19,6.76,582.65,SK0910_10_main50_19_mono.wav
7374,74,main50,19,6.17,531.4,SK1314_14_main50_19_mono.wav
6162,61,main50,40,6.6,568.61,SK0102_1_main50_40_mono.wav
7576,76,main50,65,7.11,612.79,SK1516_16_main50_65_mono.wav
6566,66,main50,11,5.79,499.18,SK0506_6_main50_11_mono.wav
6364,63,main50,78,7.17,617.53,SK0304_3_main50_78_mono.wav
7172,72,main50,17,6.6,568.26,SK1112_12_main50_17_mono.wav
6768,68,main50,33,6.76,582.13,SK0708_8_main50_33_mono.wav
7374,74,main50,51,6.05,521.49,SK1314_14_main50_51_mono.wav
6970,69,main50,62,5.8,499.53,SK0910_9_main50_62_mono.wav
7576,75,main50,46,7.25,624.33,SK1516_15_main50_46_mono.wav
6162,62,main50,63,5.06,436.22,SK0102_2_main50_63_mono.wav
7980,80,main50,41,4.12,355.25,SK1920_20_main50_41_mono.wav
7778,77,main50,2,7.96,685.49,SK1718_17_main50_2_mono.wav
6970,70,main50,51,6.62,570.24,SK0910_10_main50_51_mono.wav
6768,67,main50,36,8.59,739.67,SK0708_7_main50_36_mono.wav
7172,71,main50,34,4.93,424.85,SK1112_11_main50_34_mono.wav
6364,64,main50,53,6.17,531.22,SK0304_4_main50_53_mono.wav
6566,65,main50,32,3.92,337.6,SK0506_5_main50_32_mono.wav
6162,61,main50,36,10.15,874.46,SK0102_1_main50_36_mono.wav
7576,76,main50,13,4.86,418.65,SK1516_16_main50_13_mono.wav
7778,77,main50,74,8.08,696.34,SK1718_17_main50_74_mono.wav
6566,66,main50,67,4.86,418.39,SK0506_6_main50_67_mono.wav
6768,68,main50,45,5.78,497.89,SK0708_8_main50_45_mono.wav
7172,72,main50,61,6.98,601.16,SK1112_12_main50_61_mono.wav
7576,75,main50,30,7.55,650.6,SK1516_15_main50_30_mono.wav
6970,69,main50,14,4.91,423.3,SK0910_9_main50_14_mono.wav
7374,74,main50,27,7.82,673.43,SK1314_14_main50_27_mono.wav
7980,80,main50,37,6.68,575.67,SK1920_20_main50_37_mono.wav
6162,62,main50,15,7.09,610.55,SK0102_2_main50_15_mono.wav
6768,67,main50,40,5.07,436.31,SK0708_7_main50_40_mono.wav
7172,71,main50,42,4.71,405.99,SK1112_11_main50_42_mono.wav
6970,70,main50,27,9.16,788.59,SK0910_10_main50_27_mono.wav
6364,64,main50,25,7.21,621.32,SK0304_4_main50_25_mono.wav
6566,65,main50,44,7.28,627.18,SK0506_5_main50_44_mono.wav
7778,78,main50,71,6.51,560.42,SK1718_18_main50_71_mono.wav
6364,63,main50,46,7.0,602.97,SK0304_3_main50_46_mono.wav
7172,72,main50,29,4.21,362.4,SK1112_12_main50_29_mono.wav
6162,62,main50,3,5.53,476.19,SK0102_2_main50_3_mono.wav
7172,72,main50,5,5.26,453.27,SK1112_12_main50_5_mono.wav
7374,73,main50,44,7.28,626.66,SK1314_13_main50_44_mono.wav
7980,79,main50,42,4.28,368.69,SK1920_19_main50_42_mono.wav
7778,78,main50,39,7.72,665.33,SK1718_18_main50_39_mono.wav
7172,71,main50,2,4.91,422.96,SK1112_11_main50_2_mono.wav
6364,64,main50,5,6.3,543.03,SK0304_4_main50_5_mono.wav
6162,61,main50,4,6.98,601.25,SK0102_1_main50_4_mono.wav
7576,75,main50,78,6.57,566.02,SK1516_15_main50_78_mono.wav
6162,61,main50,14,6.18,532.43,SK0102_1_main50_14_mono.wav
7576,76,main50,9,4.22,363.87,SK1516_16_main50_9_mono.wav
7576,76,main50,31,8.85,762.06,SK1516_16_main50_31_mono.wav
7778,78,main50,1,6.05,521.5,SK1718_18_main50_1_mono.wav
6566,66,main50,45,5.82,501.34,SK0506_6_main50_45_mono.wav
7778,77,main50,56,9.27,798.15,SK1718_17_main50_56_mono.wav
7576,75,main50,80,5.96,513.49,SK1516_15_main50_80_mono.wav
7172,72,main50,43,6.76,582.47,SK1112_12_main50_43_mono.wav
6768,68,main50,67,4.99,429.85,SK0708_8_main50_67_mono.wav
6970,69,main50,36,9.07,781.61,SK0910_9_main50_36_mono.wav
7576,75,main50,12,6.63,570.85,SK1516_15_main50_12_mono.wav
7980,80,main50,15,4.94,425.2,SK1920_20_main50_15_mono.wav
6162,62,main50,37,9.89,851.9,SK0102_2_main50_37_mono.wav
7172,71,main50,60,6.18,532.69,SK1112_11_main50_60_mono.wav
6768,67,main50,62,6.34,545.95,SK0708_7_main50_62_mono.wav
7980,79,main50,28,7.07,608.92,SK1920_19_main50_28_mono.wav
7778,78,main50,53,4.68,403.49,SK1718_18_main50_53_mono.wav
6566,65,main50,66,4.97,428.55,SK0506_5_main50_66_mono.wav
6364,63,main50,64,5.09,438.12,SK0304_3_main50_64_mono.wav
7576,76,main50,79,7.83,674.03,SK1516_16_main50_79_mono.wav
7374,73,main50,66,4.58,394.19,SK1314_13_main50_66_mono.wav
7980,79,main50,60,5.4,464.99,SK1920_19_main50_60_mono.wav
6566,65,main50,8,5.4,465.42,SK0506_5_main50_8_mono.wav
7172,71,main50,28,4.96,427.26,SK1112_11_main50_28_mono.wav
6364,63,main50,12,7.57,651.81,SK0304_3_main50_12_mono.wav
6768,68,main50,59,6.82,587.55,SK0708_8_main50_59_mono.wav
7778,77,main50,68,9.29,800.39,SK1718_17_main50_68_mono.wav
7374,73,main50,10,5.17,445.35,SK1314_13_main50_10_mono.wav
7980,79,main50,16,5.01,431.91,SK1920_19_main50_16_mono.wav
6566,65,main50,58,5.29,455.94,SK0506_5_main50_58_mono.wav
6364,64,main50,39,7.97,686.18,SK0304_4_main50_39_mono.wav
6364,63,main50,80,6.53,562.74,SK0304_3_main50_80_mono.wav
7374,73,main50,58,5.42,466.97,SK1314_13_main50_58_mono.wav
6162,61,main50,62,7.83,674.55,SK0102_1_main50_62_mono.wav
7576,76,main50,47,5.73,494.01,SK1516_16_main50_47_mono.wav
6566,66,main50,33,7.62,656.46,SK0506_6_main50_33_mono.wav
7778,77,main50,20,7.34,632.69,SK1718_17_main50_20_mono.wav
